# 2SLAQ selection function in SGP region (Croom et al. 2009, MNRAS, 392, 19)
# M1450 computed with imag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in Croom et al.)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in Croom et al., only quality=1 redshifts considered)
# Tiles at z >= 2.2 removed from original file.
# Tile dz and dmag set using tiling.py with z_tolerance = 0.0100 and mag_tolerance = 0.0010; see unique values at end of file.
# Tile sizes are non-uniform only a low redshift due to host-galaxy correction.
# counter   z   M1450   p   dz   dmag 
  306  1.150  -25.04  0.84539  0.0500  0.250
  307  1.150  -24.79  0.87214  0.0500  0.250
  308  1.150  -24.54  0.83422  0.0500  0.250
  309  1.150  -24.29  0.73663  0.0500  0.250
  310  1.150  -24.04  0.58657  0.0500  0.250
  311  1.150  -23.79  0.41182  0.0500  0.250
  312  1.150  -23.54  0.34969  0.0500  0.250
  313  1.150  -23.29  0.35461  0.0500  0.250
  314  1.150  -23.04  0.25807  0.0500  0.250
  315  1.150  -22.79  0.41484  0.0500  0.250
  316  1.150  -22.54  0.59296  0.0500  0.250
  317  1.150  -22.29  0.55686  0.0500  0.250
  318  1.150  -22.04  0.47024  0.0500  0.250
  319  1.150  -21.79  0.42550  0.0500  0.250
  320  1.150  -21.54  0.40513  0.0500  0.250
  321  1.200  -25.39  0.82374  0.0500  0.250
  322  1.200  -25.14  0.84882  0.0500  0.250
  323  1.200  -24.89  0.86951  0.0500  0.250
  324  1.200  -24.64  0.83590  0.0500  0.250
  325  1.200  -24.39  0.73441  0.0500  0.250
  326  1.200  -24.14  0.58479  0.0500  0.250
  327  1.200  -23.89  0.41265  0.0500  0.250
  328  1.200  -23.64  0.35075  0.0500  0.250
  329  1.200  -23.39  0.35605  0.0500  0.250
  330  1.200  -23.14  0.25833  0.0500  0.250
  331  1.200  -22.89  0.41442  0.0500  0.250
  332  1.200  -22.64  0.58994  0.0500  0.250
  333  1.200  -22.39  0.55743  0.0500  0.250
  334  1.200  -22.14  0.46136  0.0500  0.250
  335  1.200  -21.89  0.42029  0.0500  0.250
  336  1.200  -21.64  0.40566  0.0500  0.250
  337  1.250  -25.49  0.82789  0.0500  0.250
  338  1.250  -25.24  0.85309  0.0500  0.250
  339  1.250  -24.99  0.86339  0.0500  0.250
  340  1.250  -24.74  0.83843  0.0500  0.250
  341  1.250  -24.49  0.73663  0.0500  0.250
  342  1.250  -24.24  0.58953  0.0500  0.250
  343  1.250  -23.99  0.41307  0.0500  0.250
  344  1.250  -23.74  0.35110  0.0500  0.250
  345  1.250  -23.49  0.35354  0.0500  0.250
  346  1.250  -23.24  0.25755  0.0500  0.250
  347  1.250  -22.99  0.41780  0.0500  0.250
  348  1.250  -22.74  0.59175  0.0500  0.250
  349  1.250  -22.49  0.55801  0.0500  0.250
  350  1.250  -22.24  0.46136  0.0500  0.250
  351  1.250  -21.99  0.41664  0.0500  0.250
  352  1.250  -21.74  0.41776  0.0500  0.250
  353  1.300  -25.59  0.82374  0.0500  0.250
  354  1.300  -25.34  0.84882  0.0500  0.250
  355  1.300  -25.09  0.86864  0.0500  0.250
  356  1.300  -24.84  0.83338  0.0500  0.250
  357  1.300  -24.59  0.73515  0.0500  0.250
  358  1.300  -24.34  0.58657  0.0500  0.250
  359  1.300  -24.09  0.41099  0.0500  0.250
  360  1.300  -23.84  0.34969  0.0500  0.250
  361  1.300  -23.59  0.35425  0.0500  0.250
  362  1.300  -23.34  0.25833  0.0500  0.250
  363  1.300  -23.09  0.41358  0.0500  0.250
