# Selection function for the Banados qso.  See selfn.pdf how we got
# this.  Produced using selfn_z7.py.
#
# dM = 0.1
# dz = 0.1
# 7.4 < z < 9.0
# -29.3 < M1450 < -26.6
#
# counter  z      M1450  p
375  8.70  -27.00  1.0
376  8.70  -26.90  1.0
377  8.70  -26.80  1.0
378  8.70  -26.70  1.0
379  8.80  -29.30  1.0
380  8.80  -29.20  1.0
381  8.80  -29.10  1.0
382  8.80  -29.00  1.0
383  8.80  -28.90  1.0
384  8.80  -28.80  1.0
385  8.80  -28.70  1.0
386  8.80  -28.60  1.0
387  8.80  -28.50  1.0
388  8.80  -28.40  1.0
389  8.80  -28.30  1.0
390  8.80  -28.20  1.0
391  8.80  -28.10  1.0
392  8.80  -28.00  1.0
393  8.80  -27.90  1.0
394  8.80  -27.80  1.0
395  8.80  -27.70  1.0
396  8.80  -27.60  1.0
397  8.80  -27.50  1.0
398  8.80  -27.40  1.0
399  8.80  -27.30  1.0
400  8.80  -27.20  1.0
401  8.80  -27.10  1.0
402  8.80  -27.00  1.0
403  8.80  -26.90  1.0
404  8.80  -26.80  1.0
405  8.80  -26.70  1.0
406  8.90  -29.30  1.0
407  8.90  -29.20  1.0
408  8.90  -29.10  1.0
409  8.90  -29.00  1.0
410  8.90  -28.90  1.0
411  8.90  -28.80  1.0
412  8.90  -28.70  1.0
413  8.90  -28.60  1.0
414  8.90  -28.50  1.0
415  8.90  -28.40  1.0
416  8.90  -28.30  1.0
417  8.90  -28.20  1.0
418  8.90  -28.10  1.0
419  8.90  -28.00  1.0
420  8.90  -27.90  1.0
421  8.90  -27.80  1.0
422  8.90  -27.70  1.0
423  8.90  -27.60  1.0
424  8.90  -27.50  1.0
425  8.90  -27.40  1.0
426  8.90  -27.30  1.0
427  8.90  -27.20  1.0
428  8.90  -27.10  1.0
429  8.90  -27.00  1.0
430  8.90  -26.90  1.0
431  8.90  -26.80  1.0
432  8.90  -26.70  1.0
