# 2SLAQ sample in SGP region (Croom et al. 2009, MNRAS, 392, 19; Croom et al. 2009, MNRAS, 399, 1755)
# 3663 QSOs, 0.4<z<2.6, gmag_dered<21.85, 64.2deg2, range 2.2<z<2.6 likely superseded by BOSS
# sample includes QSOs previously observed by SDSS and 2QZ, minor double-counting with z<2.2 SDSS sample
# M1450 computed with gmag corrected for host galaxy light (Croom et al. 2009, MNRAS, 392, 19) and Beta's SED
# Croom et al.: host galaxy contribution significant and model-dependent at z<0.4 so only z>0.4 QSOs considered
# selection function corrected for coverage completeness (not all targets observed, different for NGP and SGP regions, Fig 4 in catalog paper)
# selection function corrected for spectroscopic completeness (redshift success, Fig 6b in catalog paper, only quality=1 redshifts considered)
# counter  z     M1450  p       area    sample
      173  0.582 -20.60 0.40963   64.20 15
      174  0.583 -20.58 0.40963   64.20 15
      175  0.584 -21.37 0.22203   64.20 15
      176  0.587 -20.93 0.47232   64.20 15
      177  0.587 -23.34 0.80689   64.20 15
      178  0.589 -21.82 0.31681   64.20 15
      179  0.589 -19.80 0.15574   64.20 15
      180  0.589 -22.97 0.78539   64.20 15
      181  0.590 -21.65 0.30943   64.20 15
      182  0.590 -22.10 0.37976   64.20 15
      183  0.593 -21.06 0.34141   64.20 15
      184  0.594 -23.59 0.78305   64.20 15
      185  0.595 -22.39 0.54809   64.20 15
      186  0.596 -21.41 0.22203   64.20 15
      187  0.597 -21.37 0.22203   64.20 15
      188  0.598 -20.64 0.40963   64.20 15
      189  0.598 -20.85 0.47232   64.20 15
      190  0.600 -22.47 0.54809   64.20 15
      191  0.600 -22.88 0.78539   64.20 15
      192  0.602 -22.91 0.78539   64.20 15
      193  0.602 -20.63 0.40963   64.20 15
      194  0.602 -21.67 0.30943   64.20 15
      195  0.602 -19.91 0.15574   64.20 15
      196  0.603 -23.19 0.83799   64.20 15
      197  0.604 -20.91 0.47232   64.20 15
      198  0.606 -22.08 0.31681   64.20 15
      199  0.607 -23.68 0.78305   64.20 15
      200  0.608 -20.86 0.47232   64.20 15
      201  0.608 -21.97 0.31681   64.20 15
      202  0.609 -23.18 0.83799   64.20 15
      203  0.612 -21.36 0.22203   64.20 15
      204  0.612 -21.90 0.31681   64.20 15
      205  0.613 -22.18 0.37976   64.20 15
      206  0.613 -22.62 0.54809   64.20 15
      207  0.613 -21.71 0.30943   64.20 15
      208  0.615 -22.12 0.31681   64.20 15
      209  0.615 -21.13 0.34141   64.20 15
      210  0.616 -23.40 0.80689   64.20 15
      211  0.616 -20.13 0.17521   64.20 15
      212  0.619 -21.73 0.30943   64.20 15
      213  0.621 -22.95 0.78539   64.20 15
      214  0.621 -21.16 0.34141   64.20 15
      215  0.621 -22.68 0.68851   64.20 15
      216  0.622 -22.41 0.54809   64.20 15
      217  0.623 -20.12 0.17521   64.20 15
      218  0.624 -20.87 0.40963   64.20 15
      219  0.625 -20.87 0.40963   64.20 15
      220  0.627 -22.81 0.69295   64.20 15
      221  0.630 -22.32 0.37976   64.20 15
      222  0.630 -21.76 0.32270   64.20 15
      223  0.630 -21.72 0.32270   64.20 15
      224  0.631 -21.65 0.22647   64.20 15
      225  0.632 -22.33 0.37976   64.20 15
      226  0.633 -22.88 0.69295   64.20 15
